Condition,majority_voting,count,total,proportion
Normal,CD4-Tem,41,13767,0.29781361226120434
Normal,CD4-Th,10,13767,0.0726374664051718
Normal,CD4-Th-like,21,13767,0.15253867945086075
Normal,CD4-Treg,2,13767,0.014527493281034356
Normal,CD4-naive,78,13767,0.56657223796034
Normal,CD8-Tem,22,13767,0.15980242609137793
Normal,CD8-Trm,17,13767,0.12348369288879203
Normal,Fibro-SFRP4,7,13767,0.050846226483620256
Normal,Fibro-major,1358,13767,9.864167937822328
Normal,LummHR-SCGB,178,13767,1.2929469020120579
Normal,LummHR-major,3498,13767,25.408585748529088
Normal,Lumsec-KIT,201,13767,1.460013074743953
Normal,Lumsec-basal,5942,13767,43.161182537953074
Normal,Lumsec-prol,4,13767,0.029054986562068712
Normal,Macro-lipo,20,13767,0.1452749328103436
Normal,Macro-m2-CXCL,20,13767,0.1452749328103436
Normal,Mast,5,13767,0.0363187332025859
Normal,NK-ILCs,20,13767,0.1452749328103436
Normal,Vas-arterial,564,13767,4.096753105251689
Normal,Vas-capillary,692,13767,5.026512675237887
Normal,Vas-venous,154,13767,1.1186169826396455
Normal,basal,584,13767,4.242028038062032
Normal,bmem_switched,35,13767,0.25423113241810125
Normal,bmem_unswitched,3,13767,0.021791239921551537
Normal,mDC,2,13767,0.014527493281034356
Normal,pericytes,112,13767,0.8135396237379241
Normal,plasma_IgA,32,13767,0.2324398924965497
Normal,vsmc,145,13767,1.053243262874991
Tumor,CD4-Tem,148,43653,0.3390374086546171
Tumor,CD4-Th,1039,43653,2.3801342404874806
Tumor,CD4-Th-like,405,43653,0.9277712871967563
Tumor,CD4-Treg,1453,43653,3.328522667399721
Tumor,CD4-naive,3696,43653,8.466772043158546
Tumor,CD8-Tem,2472,43653,5.6628410418527935
Tumor,CD8-Trm,761,43653,1.7432937026092135
Tumor,Fibro-SFRP4,330,43653,0.7559617895677273
Tumor,Fibro-major,5438,43653,12.457333974755457
Tumor,LummHR-SCGB,2522,43653,5.777380706938813
Tumor,LummHR-major,12394,43653,28.39209218152246
Tumor,Lumsec-KIT,450,43653,1.0308569857741736
Tumor,Lumsec-basal,1850,43653,4.237967608182713
Tumor,Lumsec-prol,189,43653,0.4329599340251529
Tumor,Macro-lipo,869,43653,1.9906993791950152
Tumor,Macro-m2-CXCL,778,43653,1.78223718873846
Tumor,Mast,1414,43653,3.2391817286326257
Tumor,NK-ILCs,721,43653,1.651661970540398
Tumor,Vas-arterial,248,43653,0.5681167388266557
Tumor,Vas-capillary,1336,43653,3.0604998510984354
Tumor,Vas-venous,428,43653,0.9804595331363251
Tumor,basal,844,43653,1.9334295466520057
Tumor,bmem_switched,1472,43653,3.3720477401324076
Tumor,bmem_unswitched,221,43653,0.5062653196802053
Tumor,mDC,136,43653,0.31154788903397246
Tumor,pericytes,841,43653,1.9265571667468444
Tumor,plasma_IgA,536,43653,1.2278652097221268
Tumor,vsmc,662,43653,1.5165051657388955
